Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-10 19:57:15.803734,30.34375,20.71875,22.0458984375,1008.42,-0.541015625,1.7275390625,0.974609375,-71.8207570208,0.0,-5.84761904762,-1.24359130859,-4.93621826172,-1.41906738281,51.86
2018-07-10 19:58:18.042052,30.34375,20.875,21.9482421875,1008.4,-0.50927734375,1.78955078125,1.03515625,-71.8207570208,0.449816849817,-6.44737484737,-2.83813476562,-3.34167480469,-1.03759765625,51.86
2018-07-10 19:59:20.284293,30.34375,20.71875,21.8505859375,1008.43,-0.51513671875,1.755859375,0.9365234375,-72.4205128205,-0.449816849817,-7.64688644689,-0.175476074219,-1.16729736328,-1.38092041016,51.86
2018-07-10 20:00:22.382566,30.375,20.90625,21.8505859375,1008.47,-0.478515625,1.67626953125,0.9541015625,-71.8207570208,-0.299877899878,-6.44737484737,-3.86810302734,-5.27954101562,-1.03759765625,51.86
2018-07-10 20:01:24.684844,30.375,20.75,21.8505859375,1008.44,-0.4658203125,1.7509765625,0.90625,-71.0710622711,-0.299877899878,-6.44737484737,-0.602722167969,-4.25720214844,-1.53350830078,51.86
2018-07-10 20:02:26.719120,30.375,20.84375,21.8505859375,1008.43,-0.4599609375,1.7529296875,0.9697265625,-72.7203907204,0.0,-5.84761904762,-1.53350830078,-1.41143798828,-1.19781494141,51.86
2018-07-10 20:03:28.757402,30.34375,20.90625,21.8505859375,1008.45,-0.41796875,1.759765625,0.94482421875,-73.62002442,0.449816849817,-8.69645909646,-4.01306152344,-2.70843505859,-3.13568115234,51.86
2018-07-10 20:04:30.923682,30.34375,20.71875,21.8505859375,1008.38,-0.48681640625,1.7861328125,0.9228515625,-72.8703296703,-0.599755799756,-6.59731379731,-0.473022460938,-2.36511230469,-1.69372558594,51.94
2018-07-10 20:05:32.957964,30.34375,20.625,21.8505859375,1008.41,-0.4716796875,1.75244140625,0.96923828125,-70.7711843712,0.449816849817,-7.34700854701,-0.999450683594,-3.57055664062,-1.41906738281,51.94
2018-07-10 20:06:35.128242,30.34375,20.78125,21.8505859375,1008.4,-0.49267578125,1.73095703125,0.98681640625,-72.1206349206,-1.79926739927,-6.59731379731,-2.83813476562,-3.73077392578,-0.358581542969,52.02
